50.657095:13.904507,52.593215:14.454589,47.038104:12.935218,49.328849:8.565584,49.004915:10.940701
52.134914:12.561109,50.630577:6.571556,51.184890:6.215255,49.328850:8.565586,52.381762:7.395582
47.035784:13.966515,50.331020:11.431910,49.449664:10.482138,49.328849:8.565585,50.990603:13.834406
51.304119:9.619587,52.005592:9.375627,48.996226:7.251341,49.328849:8.565585,48.453574:6.548256
49.964300:13.592730,49.391478:13.769261,49.476403:13.366678,48.061747:7.896232,49.328849:8.565585
50.074932:10.556627,47.257851:7.993634,49.328849:8.565585,48.073176:7.196317,50.317156:13.063924
49.635925:12.931255,51.344669:9.852085,49.328849:8.565584,50.717047:12.090948,47.764714:14.136602
49.328848:8.565584,51.004649:13.775746,48.560105:10.453172,51.353419:6.700672,51.880969:9.639240
50.802453:11.144012,50.269170:10.516547,47.325362:12.137685,49.243413:9.197771,49.328848:8.565584
47.562341:10.227668,47.594704:12.163384,51.587581:7.165240,49.442974:10.709154,49.328848:8.565584
50.127741:8.570350,47.294572:8.509327,49.328848:8.565584,48.844437:12.727081,49.361024:7.429018
52.327865:9.960962,49.328848:8.565584,51.181586:12.747354,51.159965:6.624348,49.506081:11.018018
49.328848:8.565584,52.979721:13.833209,48.014780:12.160458,51.635781:10.081332,47.136624:8.002875
49.856369:7.709146,51.985331:12.997936,49.328848:8.565584,50.904718:6.645235,50.081345:12.224338
49.328848:8.565584,52.640107:12.725747,47.592662:11.060750,52.223079:6.295944,50.942720:8.785731
50.719411:7.456825,47.908997:8.307577,51.612005:11.136939,49.328848:8.565584,47.456545:12.042374
50.020726:12.536094,47.658431:11.701950,49.328847:8.565584,52.859174:7.942238,50.048317:7.715480
48.399655:12.758303,49.011332:10.635224,49.328847:8.565584,50.761437:8.424083,51.661307:13.266655
47.040062:11.616408,47.120412:6.316263,49.328847:8.565584,51.208909:13.381886,47.842372:12.265128
47.902870:6.668824,50.809374:12.458296,52.145779:13.063694,51.169044:7.030394,49.328847:8.565584
52.694695:8.255099,50.021792:11.981055,52.896120:10.994610,49.328847:8.565584,47.125872:10.208817
50.522439:14.042104,49.517905:8.060669,51.076101:8.564337,49.328847:8.565583,47.799291:11.169012
49.328847:8.565584,48.038453:7.460114,47.568285:8.932370,51.148872:14.441177,52.576238:7.823454
49.328847:8.565583,51.667723:14.746896,47.860651:12.034808,52.696695:10.191679,52.762187:9.238674
48.737635:7.901082,47.293527:13.894952,49.328847:8.565583,52.517626:10.673097,47.220639:12.962355
49.225545:11.170339,47.076617:6.420136,47.920835:6.264020,49.328847:8.565583,51.587554:6.675606
49.405127:6.409067,52.334348:7.311556,51.335583:14.555844,52.467763:9.728102,49.328847:8.565583
51.671044:10.714987,50.297466:13.757906,50.580068:10.906840,52.861276:8.092282,49.328847:8.565583
47.137828:13.296138,47.676408:14.704052,47.796410:12.781515,47.878152:8.868550,49.328847:8.565583
51.394076:9.420380,49.002573:14.582554,52.327052:12.661796,49.328847:8.565583,52.202249:10.066907
52.652682:7.035840,49.328847:8.565583,51.024799:13.384950,50.519282:14.343253,50.183935:14.370632
47.225011:9.229083,50.275771:7.249559,50.941221:12.108246,49.328848:8.565582,52.531920:6.439296
49.328848:8.565582,50.821095:8.142934,52.790839:14.403934,51.263864:9.374561,50.526086:9.195459
51.041982:13.711505,51.410500:8.432285,52.568212:6.833038,49.328847:8.565582,51.914168:12.949424
